
------------------------2020-04-02 16:58:34：工厂开始运行----------------------------
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0037.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0046.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0047.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0048.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0049.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0050.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0051.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0052.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0053.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0054.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0055.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0056.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0057.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0058.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0059.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0060.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0061.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0062.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0063.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0064.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0065.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0066.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0067.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0068.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0069.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0070.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0071.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0072.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0073.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0074.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0075.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0076.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0077.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0078.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0079.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0080.ts
2020-04-02 17:12:33:[WARING]视频合并完成;F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集/noTitle.mp4
2020-04-02 17:12:33:[WARING]视频合并完成;F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口/P1.mp4
2020-04-02 17:12:35-----------------------------主线程退出----------------------------
